Job Title,Company,Location,Required Skills,Suggested Additional Skills,Experience Level,Salary Min (NPR),Salary Max (NPR),Average Salary (NPR),Posted Date,Job URL,Description
Python Developer,F1Soft International,"Kathmandu, Nepal","agile, api, aws, ci/cd, django, docker, flask, git, microservices, postgresql, python, rest, rest api","Azure, Celery, FastAPI, GCP, GraphQL, Kubernetes, Machine Learning Basics, Redis",Mid (2-4 years),45000.0,80000.0,"62,500",2024-12-15,https://merojob.com/jobs/python-developer-f1soft,"We are seeking an experienced Python Developer to join our fintech team. Required skills: Python, Django, Flask, PostgreSQL, REST API, Git, Agile methodologies. Experience with payment gateway integra..."
Data Scientist,Fusemachines Nepal,"Kathmandu, Nepal","data science, deep learning, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, spark, sql, tensorflow","A/B Testing, Apache Spark, Business Intelligence, Data Visualization, MLOps, MLflow, Power BI, Statistical Analysis, Tableau",Not Specified,70000.0,130000.0,"100,000",2024-12-15,https://jobsnepal.com/data-scientist-fusemachines,"Data Scientist role focusing on machine learning and AI solutions. Required skills: Python, Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch, SQL, Data Science, Machine Learning, Deep Learning, NLP. E..."
Frontend Developer,YoungInnovations,"Kathmandu, Nepal","bootstrap, css, git, html, javascript, npm, react, tailwind, typescript, vue, webpack",,Mid (2-4 years),40000.0,70000.0,"55,000",2024-12-15,https://merojob.com/frontend-developer-younginnovations,"Frontend Developer position for web applications. Required skills: JavaScript, TypeScript, React, Vue, HTML, CSS, Tailwind CSS, Bootstrap, Webpack, npm, Git. Experience with state management (Redux, V..."
Mobile App Developer (React Native),F1Soft International,"Kathmandu, Nepal","api, git, javascript, react, rest, rest api, typescript","App Performance, App Store Optimization, Biometric Authentication, Firebase, Flutter, Kotlin, Native Modules, Payment Gateway Integration, State Management, Swift",Mid (2-4 years),50000.0,85000.0,"67,500",2024-12-15,https://merojob.com/mobile-developer-react-native-f1soft,"Mobile App Developer using React Native for cross-platform apps. Skills: React Native, JavaScript, TypeScript, Redux, REST API, Git, Firebase, Mobile App Development. Experience with iOS and Android a..."
AI/ML Engineer,Fusemachines Nepal,"Kathmandu, Nepal","aws, deep learning, docker, gcp, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, tensorflow","Computer Vision, Generative AI, Kubernetes for ML, LLMs, MLOps, MLflow, Model Deployment, Model Optimization, Real-time ML Inference, Reinforcement Learning, Transformers",Not Specified,80000.0,140000.0,"110,000",2024-12-15,https://merojob.com/ai-ml-engineer-fusemachines,"AI/ML Engineer for machine learning solutions. Required: Python, TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Deep Learning, Machine Learning, NLP, Computer Vision, MLOps, Docker, AWS, GCP. Exper..."
Senior Python Developer,CloudFactory,"Kathmandu, Nepal","api, aws, docker, fastapi, graphql, kubernetes, machine learning, microservices, postgresql, python, redis, rest, rest api","Azure, CI/CD, Celery, GCP, Machine Learning Basics",Senior (4+ years),80000.0,120000.0,"100,000",2024-12-14,https://jobsnepal.com/senior-python-developer-cloudfactory,"Senior Python Developer needed for cloud-based data processing platform. Skills required: Python, FastAPI, PostgreSQL, Redis, Celery, Docker, Kubernetes, AWS, Microservices, REST API, GraphQL. 5+ year..."
Data Scientist,CloudFactory,"Kathmandu, Nepal","data science, machine learning, numpy, pandas, postgresql, python, r, scikit-learn, sql","A/B Testing, Apache Spark, Business Intelligence, Data Visualization, Deep Learning, MLOps, MLflow, NLP, Power BI, PyTorch, Statistical Analysis, Tableau",Mid (2-4 years),60000.0,110000.0,"85,000",2024-12-14,https://merojob.com/data-scientist-cloudfactory,"Data Scientist position for data analytics and insights. Skills: Python, R, Pandas, NumPy, Scikit-learn, SQL, PostgreSQL, Data Science, Machine Learning, Statistical Analysis, Data Visualization. Expe..."
Backend Developer,F1Soft International,"Kathmandu, Nepal","api, aws, ci/cd, django, docker, express, graphql, microservices, mongodb, node.js, postgresql, python, redis, rest, rest api",,Mid (2-4 years),50000.0,85000.0,"67,500",2024-12-14,https://jobsnepal.com/backend-developer-f1soft,"Backend Developer role for fintech applications. Skills: Node.js, Express, Python, Django, PostgreSQL, MongoDB, Redis, REST API, GraphQL, Microservices, Docker, AWS. Experience with payment systems an..."
iOS Developer,Leapfrog Technology,"Lalitpur, Nepal","api, git, rest, rest api, swift",,Not Specified,55000.0,90000.0,"72,500",2024-12-14,https://jobsnepal.com/ios-developer-leapfrog,"iOS Developer position for native iOS applications. Required: Swift, Objective-C, iOS SDK, Xcode, UIKit, SwiftUI, REST API, Git, CocoaPods. Experience with Core Data, Firebase, and app store deploymen..."
Machine Learning Engineer,Leapfrog Technology,"Lalitpur, Nepal","apache spark, aws, deep learning, docker, kubernetes, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, spark, tensorflow",,Not Specified,75000.0,130000.0,"102,500",2024-12-14,https://jobsnepal.com/ml-engineer-leapfrog,"Machine Learning Engineer for AI-powered products. Skills: Python, TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Machine Learning, Deep Learning, NLP, Apache Spark, MLflow, Docker, Kubernetes, AWS..."
Python Developer,Fusemachines Nepal,"Lalitpur, Nepal","api, django, git, mongodb, postgresql, python, pytorch, rest, rest api, tensorflow","Azure, CI/CD, Celery, FastAPI, GCP, GraphQL, Kubernetes, Machine Learning Basics, Microservices, Redis",Mid (2-4 years),50000.0,90000.0,"70,000",2024-12-13,https://merojob.com/python-developer-fusemachines,"Python Developer position at AI company. Required: Python, Django, PostgreSQL, MongoDB, REST API, Git. Experience with AI/ML libraries (TensorFlow, PyTorch) is highly preferred. 2-4 years of experienc..."
Full Stack Developer,Leapfrog Technology,"Lalitpur, Nepal","agile, api, aws, docker, express, git, javascript, mongodb, node.js, postgresql, react, rest, rest api, typescript",,Not Specified,55000.0,95000.0,"75,000",2024-12-13,https://merojob.com/fullstack-developer-leapfrog,"Full Stack Developer position. Required: JavaScript, TypeScript, React, Node.js, Express, PostgreSQL, MongoDB, REST API, Git, Docker, AWS. Experience with both frontend and backend development. Knowle..."
Android Developer,CloudFactory,"Kathmandu, Nepal","api, git, java, kotlin, rest, rest api, sqlite",,Mid (2-4 years),50000.0,85000.0,"67,500",2024-12-13,https://merojob.com/android-developer-cloudfactory,"Android Developer for native Android applications. Skills: Java, Kotlin, Android SDK, Android Studio, REST API, Git, Firebase, SQLite. Experience with Material Design, Jetpack components, and app perf..."
Senior AI Engineer,CloudFactory,"Kathmandu, Nepal","aws, deep learning, docker, gcp, kubernetes, machine learning, nlp, python, pytorch, tensorflow","Computer Vision, Generative AI, Kubernetes for ML, LLMs, MLOps, MLflow, Model Deployment, Model Optimization, Real-time ML Inference, Reinforcement Learning, Transformers",Senior (4+ years),100000.0,180000.0,"140,000",2024-12-13,https://merojob.com/senior-ai-engineer-cloudfactory,"Senior AI Engineer for advanced AI solutions. Required: Python, TensorFlow, PyTorch, Deep Learning, Machine Learning, NLP, Computer Vision, Reinforcement Learning, MLOps, Docker, Kubernetes, AWS, GCP...."
Senior Data Scientist,Leapfrog Technology,"Kathmandu, Nepal","apache spark, aws, data science, deep learning, gcp, machine learning, nlp, numpy, pandas, python, pytorch, scikit-learn, spark, sql, tensorflow","A/B Testing, Business Intelligence, Data Visualization, MLOps, MLflow, Power BI, Statistical Analysis, Tableau",Senior (4+ years),90000.0,150000.0,"120,000",2024-12-12,https://kumarijob.com/senior-data-scientist-leapfrog,"Senior Data Scientist role for predictive analytics and ML models. Required: Python, Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch, SQL, Machine Learning, Deep Learning, NLP, Apache Spark, Data Eng..."
Full Stack Developer,CloudFactory,"Kathmandu, Nepal","api, aws, ci/cd, devops, django, docker, graphql, javascript, kubernetes, microservices, node.js, postgresql, python, react, redis, rest, rest api, vue",,Not Specified,60000.0,100000.0,"80,000",2024-12-12,https://jobsnepal.com/fullstack-developer-cloudfactory,"Full Stack Developer for cloud-based platforms. Skills: JavaScript, React, Vue, Node.js, Python, Django, PostgreSQL, Redis, REST API, GraphQL, Docker, Kubernetes, AWS, Microservices. Experience with r..."
Flutter Developer,YoungInnovations,"Kathmandu, Nepal","api, git, rest, rest api",,Mid (2-4 years),48000.0,80000.0,"64,000",2024-12-12,https://kumarijob.com/flutter-developer-younginnovations,"Flutter Developer for cross-platform mobile apps. Required: Dart, Flutter, REST API, Git, Firebase, State Management (Provider, Bloc). Experience with iOS and Android app development. Knowledge of nat..."
React Developer,YoungInnovations,"Kathmandu, Nepal","api, css, git, html, javascript, next.js, npm, react, tailwind, typescript, webpack",,Mid (2-4 years),45000.0,75000.0,"60,000",2024-12-11,https://kumarijob.com/react-developer-younginnovations,"React Developer role for modern web applications. Required: JavaScript, TypeScript, React, Redux, HTML, CSS, Tailwind CSS, Webpack, npm, Git. Experience with React Hooks, Context API, and modern React..."
Python Developer,Yomari Inc,"Pokhara, Nepal","api, css, django, flask, git, html, javascript, postgresql, python, rest, rest api","Azure, CI/CD, Celery, FastAPI, GCP, GraphQL, Kubernetes, Machine Learning Basics, Microservices, Redis",Entry (0-2 years),35000.0,60000.0,"47,500",2024-12-10,https://jobsnepal.com/python-developer-yomari,"Python Developer for web applications. Skills: Python, Django, Flask, PostgreSQL, REST API, Git. Experience with API development and database design. 1-2 years of Python development experience. Knowle..."
Data Scientist,eSewa (F1Soft),"Kathmandu, Nepal","data science, machine learning, numpy, pandas, postgresql, python, scikit-learn, sql","A/B Testing, Apache Spark, Business Intelligence, Data Visualization, Deep Learning, MLOps, MLflow, NLP, Power BI, PyTorch, Statistical Analysis, Tableau",Mid (2-4 years),65000.0,115000.0,"90,000",2024-12-09,https://merojob.com/data-scientist-esewa,"Data Scientist for fintech analytics and fraud detection. Required: Python, Pandas, NumPy, Scikit-learn, SQL, PostgreSQL, Machine Learning, Data Science, Statistical Analysis. Experience with time ser..."
Full Stack Developer,Code For Change,"Kathmandu, Nepal","api, express, git, javascript, mongodb, node.js, postgresql, react, rest, rest api",,Mid (2-4 years),45000.0,75000.0,"60,000",2024-12-08,https://kumarijob.com/fullstack-developer-codeforchange,"Full Stack Developer for social impact projects. Skills: JavaScript, React, Node.js, Express, MongoDB, PostgreSQL, REST API, Git. Experience with both frontend and backend development. Passion for soc..."
Mobile App Developer,Khalti Digital Wallet,"Kathmandu, Nepal","api, git, javascript, react, rest, rest api, typescript","App Performance, App Store Optimization, Biometric Authentication, Firebase, Flutter, Kotlin, Native Modules, Payment Gateway Integration, State Management, Swift",Mid (2-4 years),52000.0,88000.0,"70,000",2024-12-07,https://merojob.com/mobile-developer-khalti,"Mobile App Developer for payment wallet application. Required: React Native, JavaScript, TypeScript, REST API, Git, Firebase, Mobile App Development. Experience with payment gateway integration and se..."
AI/ML Engineer,Khalti Digital Wallet,"Kathmandu, Nepal","deep learning, machine learning, nlp, postgresql, python, pytorch, scikit-learn, sql, tensorflow","Computer Vision, Generative AI, Kubernetes for ML, LLMs, MLOps, MLflow, Model Deployment, Model Optimization, Real-time ML Inference, Reinforcement Learning, Transformers",Not Specified,85000.0,145000.0,"115,000",2024-12-06,https://jobsnepal.com/ai-ml-engineer-khalti,"AI/ML Engineer for fraud detection and recommendation systems. Skills: Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, Deep Learning, NLP, SQL, PostgreSQL. Experience with fraud detection..."
Backend Developer,Verisk Nepal,"Kathmandu, Nepal","api, aws, django, docker, java, kafka, microservices, mongodb, postgresql, python, redis, rest, rest api, spring",,Not Specified,55000.0,90000.0,"72,500",2024-12-05,https://merojob.com/backend-developer-verisk,"Backend Developer for enterprise applications. Required: Java, Spring Boot, Python, Django, PostgreSQL, MongoDB, REST API, Microservices, Docker, AWS. Experience with enterprise software development a..."
Python Developer,Cotiviti Nepal,"Kathmandu, Nepal","api, aws, django, docker, fastapi, git, postgresql, python, rest, rest api, sql","Azure, CI/CD, Celery, GCP, GraphQL, Kubernetes, Machine Learning Basics, Microservices, Redis",Not Specified,60000.0,100000.0,"80,000",2024-12-04,https://jobsnepal.com/python-developer-cotiviti,"Python Developer for healthcare analytics platform. Skills: Python, Django, FastAPI, PostgreSQL, SQL, REST API, Git, Docker, AWS. Experience with healthcare data processing and HIPAA compliance. Knowl..."
